filename,file_size_mb,width,height,depth,volume,diagonal_length,largest_dimension,smallest_dimension,center_x,center_y,center_z,min_x,min_y,min_z,max_x,max_y,max_z,mesh_count,total_vertices,total_triangles,units,scale_category,likely_units,error
"HULLS, INTERNALS, ETC.__internals__galley, workbench, shelving, etc.__WORKBENCH OPTIONS__workbench V2.glb",0.097,2.174875,0.96519,0.823395,1.728443324,2.517866,2.174875,0.823395,-6.212815,0.965193,-2.7576,-7.300252,0.482598,-3.169297,-5.125377,1.447788,-2.345903,21,1760,2299,unknown,meter,meters,
PROPULSION__rudder assembly__Turcite bushings.glb,0.175,0.088901,0.753418,4.6609,0.312183592,4.722238,4.6609,0.088901,-10.518495,0.862637,0.0,-10.562945,0.485928,-2.33045,-10.474045,1.239346,2.33045,16,3856,3840,unknown,meter,meters,
PROPULSION__SHAFTLINE COMPONENTS__shaft__surfs.glb,0.042,1.941654,0.368673,4.6736,3.345526381,5.074296,4.6736,0.368673,-9.401628,0.279898,0.0,-10.372455,0.095561,-2.3368,-8.4308,0.464234,2.3368,10,776,880,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__5_ flat bar base__simplified backing plates 6-5-25.glb,0.504,4.045612,0.269937,5.771206,6.302512739,7.053132,5.771206,0.269937,-6.951487,2.298032,0.0,-8.974293,2.163063,-2.885603,-4.92868,2.433001,2.885603,70,10106,12006,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__internals__galley, workbench, shelving, etc.__GALLEY SURFS.glb",0.055,2.174875,1.754399,1.741611,6.645285678,3.292598,2.174875,1.741611,-6.212815,1.474099,2.285802,-7.300252,0.5969,1.414997,-5.125377,2.351299,3.156607,32,719,713,unknown,meter,meters,
PROPULSION__MOTOR MOUNT__marks.glb,0.021,,,,,,,,,,,,,,,,,0,0,0,unknown,unknown,unknown,
PROPULSION__SHAFTLINE COMPONENTS__Cutless Bearing brass _Bale_ size.glb,0.051,0.106309,0.053525,4.6101,0.026232157,4.611636,4.6101,0.053525,-9.401702,0.261542,0.0,-9.454857,0.23478,-2.30505,-9.348548,0.288305,2.30505,8,1040,1024,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__INSIDE HULL.glb",0.387,11.374419,1.748882,6.362392,126.564008787,13.149754,11.374419,1.748882,-5.707152,1.023557,0.0,-11.394361,0.149116,-3.181196,-0.019943,1.897998,3.181196,19,7417,12624,unknown,building,meters,
PROPULSION__steering matching as-built tunnels WRK HJN__30 port (approx).glb,0.703,1.351492,0.07102,1.576789,0.151344911,2.077941,1.576789,0.07102,-9.897664,1.372956,1.55252,-10.57341,1.337446,0.764125,-9.221918,1.408466,2.340914,39,13672,22174,unknown,meter,meters,
PROPULSION__20W Bell Marine Motor__MOTOR CONTROLLER APPROX..glb,0.004,0.19304,0.340868,5.0165,0.330092201,5.031772,5.0165,0.19304,-7.825397,0.788416,0.0,-7.921917,0.617982,-2.50825,-7.728877,0.95885,2.50825,2,48,24,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__SMARTPLUG INLET SYSTEM__AC rotary switch.glb,0.081,0.104083,0.064134,0.064282,0.000429097,0.138125,0.104083,0.064134,-7.412662,3.227424,1.432053,-7.464703,3.195357,1.399912,-7.36062,3.259491,1.464194,32,1335,1276,unknown,decimeter,meters,
SYSTEM COMPONENTS SIZED & PLACED__Headhunter Royal Flush Espresso.glb,0.024,0.491236,0.38735,0.3937,0.074913321,0.739157,0.491236,0.38735,-4.42167,0.676275,2.286,-4.667288,0.4826,2.08915,-4.176052,0.86995,2.48285,3,514,508,unknown,decimeter,meters,
SUPERSTRUCTURE__WIREWAYS__ww parts surfs__thru-collars ORANGE.glb,0.297,5.239488,0.149585,4.451752,3.489066391,6.876969,5.239488,0.149585,-8.105081,3.208475,-0.005539,-10.724825,3.133682,-2.231415,-5.485337,3.283267,2.220337,48,6192,6144,unknown,meter,meters,
PROPULSION__steering matching as-built tunnels WRK HJN__30 stbd (approx).glb,0.704,1.214582,0.07102,1.76839,0.152540683,2.146499,1.76839,0.07102,-9.966194,1.372956,1.648257,-10.573485,1.337446,0.764062,-9.358903,1.408466,2.532452,39,13690,22218,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__RAILINGS & POSTS__railing flanges.glb,0.514,10.247071,1.610986,5.973957,98.617404816,11.970209,10.247071,1.610986,-5.556503,2.268394,0.0,-10.680038,1.462901,-2.986979,-0.432968,3.073887,2.986979,157,8834,10144,unknown,building,meters,
"HULLS, INTERNALS, ETC.__internals__CABINETS__WM CABINET.glb",0.001,,,,,,,,,,,,,,,,,0,0,0,unknown,unknown,unknown,
SUPERSTRUCTURE__WIREWAYS__ww parts surfs__int-ext penetrations PINK.glb,0.397,6.964362,0.022393,2.365243,0.368866468,7.355081,6.964362,0.022393,-8.205216,3.272071,-0.004762,-11.687397,3.260875,-1.187384,-4.723035,3.283267,1.177859,64,8256,8192,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__TOE-KICKS__TOE-KICK BOLTS (1_4_).glb,0.78,5.356747,0.497348,5.847843,15.579641805,7.946028,5.847843,0.497348,-3.122789,2.142776,0.0,-5.801163,1.894101,-2.923922,-0.444416,2.39145,2.923922,396,10616,11420,unknown,meter,meters,
"HULLS, INTERNALS, ETC.__deck.glb",1.211,11.324645,1.729268,6.359382,124.537996922,13.10266,11.324645,1.729268,-5.730896,1.60112,0.0,-11.393219,0.736486,-3.179691,-0.068574,2.465754,3.179691,128,22414,36878,unknown,building,meters,
PROPULSION__SHAFTLINE COMPONENTS__PSS shaft seal 02-100-200__surfs.glb,0.298,0.181904,0.109881,4.642681,0.092796704,4.647542,4.642681,0.109881,-8.955829,0.343653,0.0,-9.046781,0.288713,-2.321341,-8.864877,0.398593,2.321341,48,5984,6580,unknown,meter,meters,
SUPERSTRUCTURE__ALUM.__WORKING CONCEPTS__ELEC. MOUNT RAILS__radar post elec. mount.glb,0.541,0.0254,0.458473,0.694165,0.008083757,0.832291,0.694165,0.0254,-9.751352,4.301491,1.726829,-9.764052,4.072254,1.379747,-9.738652,4.530727,2.073912,22,10478,17726,unknown,decimeter,meters,
SUPERSTRUCTURE__ALUM.__5_ flat bar base__3_8_ 316L SS bolts.glb,1.016,4.920172,0.911096,5.706686,25.581640407,7.589759,5.706686,0.911096,-7.410439,2.019623,0.0,-9.870524,1.564075,-2.853343,-4.950353,2.475171,2.853343,68,22984,22576,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__BATTERIES__access panel WRK__coaming (scribed to hull).glb,0.024,0.677705,0.604582,0.099641,0.04082583,0.913637,0.677705,0.099641,-4.761124,1.74107,1.492877,-5.099977,1.438779,1.443056,-4.422272,2.043361,1.542697,5,431,549,unknown,decimeter,meters,
SYSTEM COMPONENTS SIZED & PLACED__BATTERIES__access panel WRK__access panel surfs.glb,0.045,0.658655,0.566482,0.009525,0.003553956,0.868803,0.658655,0.009525,-4.770649,1.74107,1.512535,-5.099977,1.457829,1.507772,-4.441322,2.024311,1.517297,18,689,846,unknown,decimeter,meters,
SYSTEM COMPONENTS SIZED & PLACED__SMARTPLUG INLET SYSTEM__sensors.glb,0.336,14.870135,3.280176,2.566835,125.201657665,15.442445,14.870135,2.566835,-0.022137,1.582088,0.869861,-7.457204,-0.058,-0.413557,7.41293,3.222176,2.153278,136,5380,5376,unknown,building,meters,
"HULLS, INTERNALS, ETC.__CUSTOM PORTLIGHTS__portlight cut-out edge.glb",0.043,1.072351,0.376703,6.159008,2.487977125,6.263004,6.159008,0.376703,-6.615941,2.137093,0.0,-7.152116,1.948742,-3.079504,-6.079765,2.325444,3.079504,18,624,744,unknown,meter,meters,
PROPULSION__rudder assembly__Rudder tube__Molded tube ends for turc bushings.glb,0.338,0.095377,0.778326,4.667377,0.346479853,4.732789,4.667377,0.095377,-10.518496,0.850183,0.0,-10.566184,0.46102,-2.333688,-10.470807,1.239346,2.333688,52,7072,6992,unknown,meter,meters,
SYSTEM COMPONENTS SIZED & PLACED__BATTERIES__conduit WRK__2x2 2_x2_ array.glb,0.235,0.19921,0.154725,3.046151,0.093890773,3.056576,3.046151,0.154725,-4.953686,2.123952,0.0,-5.053291,2.04659,-1.523075,-4.854081,2.201315,1.523075,140,2906,2944,unknown,meter,meters,
